Persona, Arcana, Curse, Electric, Fire, Ice, Item, Bless, Lv, Nuclear, Personality, Phys, Psi, Gun, Skills, Wind
Abaddon,Judgement,ab,-,-,-,Makarakarn,-,74,wk,ab,wk,ab,"Absorb Phys(79),Deathbound,Gigantomachia(80),Makarakarn,Spirit Drain,Survival Trick(77)",-                
Agathion,Chariot,-,rs,-,-,Zio,-,3,-,Timid,-,-,rs,"Baisudi,Dia,Dodge Electric(8),Lunge(4),Rakukaja(6),Zio",wk
Alice,Death,rp,-,-,-,Mamudoon,wk,79,rs,,-,rs,-,"Dekunda,Die For Me!(81),Mamudoon,Megidolaon(82),Mind Charge(83),Mudo Boost,Survival Trick(84)",-
Ame no Uzume,Lovers,-,-,ab,-,豪刀”千両役者”,-,29,-,,-,wk,-,"Bufula,Diarama,Divine Grace(32),Mazio,Shock Boost(34),Tentarafoo(31)",-
Ananta,Star,-,wk,-,ab,ホゥアコン,-,43,-,,-,-,-,"Banishing Wave(45),Defense Master,Electric Wall,Freidyne(48),Growth 2(46),Mafreila,Marakukaja(47),Nuclear Boost(49)",-
Andras,Devil,-,-,wk,rs,Ice Break,-,10,-,Timid,-,-,wk,"Apt Pupil(13),Bufu,Ice Break(15),Mabufu(14),Rakunda,Tarukaja(11)",-
Angel,Justice,wk,rs,-,-,Baisudi,nu,12,-,Irritable,-,-,-,"Baisudi(14),Dazzler,Dekunda(17),Dia,Dodge Curse(15),Hama,Kouha(13)",-
Anubis,Judgement,nu,-,-,-,Makouha,nu,37,-,Gloomy,-,-,-,"Dekunda(40),Eiga(43),Hamaon,Makouha,Mudoon,Null Fear(39),Resist Bless(41)",-
Anzu,Hierophant,-,rs,-,-,Dekaja,-,25,wk,Irritable,-,-,wk,"Assault Dive(27),Dekaja(28),Garula,Masukukaja,Null Forget(29),Wind Break",rp
Apsaras,Priestess,-,wk,-,rs,Freeze Boost,-,11,-,Upbeat,-,-,-,"Bufu,Electric Wall(14),Ice Wall,Media(13),Rebellion,Wind Wall(16)",-
Ara Mitama,Chariot,-,-,-,wk,Freila,-,31,-,,rs,-,-,"Freila,Marakunda(33),Miracle Punch,Taunt,Rage Boost(35),Rebellion(32)",-
Arahabaki,Hermit,rs,-,-,-,タップスアン,rs,35,wk,Gloomy,rp,wk,rp,"Banishing Wave,Defense Master(39),Maeiga(38),Makarakarn,Null Brainwash,Spirit Drain(37)",-
Archangel,Justice,wk,wk,-,-,Dazzler,nu,16,-,Irritable,-,-,-,"Dazzler,Hama,Vajra Blast(21),Makouha(19),Psi,Rebellion(18)",-
Ardha,Temperance,-,nu,-,nu,Agneyastra,-,84,-,,rs,-,-,"Agneyastra(87),Auto-Masuku(88),Cosmic Flare,God's Hand,High Voltage(89),Invigorate 3,Salvation(90)",-
Ariadne,Fortune,-,-,-,-,赤い毛玉,rs,30,nu,,-,wk,rs,"Apt Pupil,Attack Master(31),Evade Physical(34),High Voltage(32),Miracle Punch,Power Charge(36),String Art Beast",-
Ariadne Picaro,Fortune,-,-,-,-,Auto-Mataru,rs,42,nu,,-,wk,rs,"Apt Pupil,Auto-Mataru(43),Evade Physical(46),Heat Up(44),Miracle Punch,Power Charge(48),String Art Beast",-
Arsène,Fool,rs,-,-,wk,怪盗紳士ステッキ,wk,1,-,,-,-,-,"Cleave(2),Adverse Resolve(7),Dream Needle(5),Eiha,Sukunda(4)",-
Asterius,Fortune,nu,-,rs,wk,雷光の角,-,56,-,,-,rs,-,"Auto-Mataru(57),Burn Boost,Fire Amp(59),Gigantomachia(62),Maragidyne,Tetrakarn(60),Titanomachia",-
Asterius Picaro,Fortune,nu,-,rs,wk,Gigantomachia,-,62,-,,-,rs,-,"Auto-Masuku(63),Burn Boost,Fire Amp(65),Gigantomachia(68),Makarakarn(66),Maragidyne,Titanomachia",-
Asura-Ou,Sun,-,-,nu,-,ヴァジュラ,-,76,rp,,-,wk,-,"Atomic Flare,Auto-Mataru(78),High Counter(80),Mafreidyne(79),Mahamaon,Marakukaja,Unshaken Will(81)",-
Atropos,Fortune,-,-,wk,-,Mazionga,-,39,-,,-,-,-,"Dodge Fire(44),Electric Boost(43),Electric Break,Fire Wall,Mazionga,Mediarama(41),Mind Charge(45)",nu
Attis,Hanged Man,wk,-,nu,-,Enduring Soul,-,82,-,,-,-,-,"Absorb Curse(86),Enduring Soul(84),Incineration(88),Maragidyne,Salvation,Samarecarm(85),Thermopylae",rp
Baal,Emperor,rs,-,rs,-,ヤグルシ,rs,75,-,,-,-,-,"Magarudyne,Matarukaja,Panta Rhei(77),Power Charge(79),Revolution(0),Tetraja(78),Thunderbolt(80)",ab
Baphomet,Devil,nu,-,rs,-,Shock Boost,wk,58,-,,-,-,-,"Agidyne,Bufudyne(59),Burn Boost,Evade Fire,Freeze Boost(63),Shock Boost(62),Ziodyne(61)",-
Barong,Emperor,wk,rs,-,-,Invigorate 2,nu,52,-,,-,-,rs,"Electric Break,Invigorate 2(54),Maziodyne(57),Null Electric(55),Wage War,Ziodyne",wk
Beelzebub,Devil,rp,-,ab,-,フルールドマル,wk,84,-,,-,-,-,"Curse Amp(85),Devil Smile,Evil Judgement(87),Maeigaon,Mamudoon,Megidolaon(89),Mind Charge(86),Repel Ice(88)",-
Belial,Devil,nu,-,-,-,Maragion,-,68,-,,-,-,-,"Agidyne,Heat Up(72),Mamudoon,Maragidyne(71),Matarunda,Rainy Death(74),Survival Trick(70)",-
Belphegor,Tower,rp,rs,wk,rs,Mabufula,-,37,rs,Irritable,-,-,-,"Bufula,Dodge Fire,Ice Break(39),Mabufula(41),Mind Charge(44),Null Rage(38)",-
Berith,Hierophant,-,-,rs,wk,Cleave,-,9,-,Irritable,-,-,nu,"Cleave,Dodge Fire(11),Double Fangs(10),Rakukaja,Sledgehammer(13)",-
Bicorn,Hermit,rs,wk,-,-,Garu,-,4,-,Irritable,-,-,-,"Apt Pupil(8),Garu(6),Ice Wall(7),Lunge,Tarunda",-
Bishamonten,Hierophant,rs,-,ab,wk,Mafreidyne,rs,67,-,,-,-,-,"Deadly Fury(68),Diarahan,Freidyne,God's Hand(73),Mafreidyne(69),Nuclear Amp(71),Tetrakarn(72)",-

    },
    Black Frost: {
        ag: 42,
        arcana: Fool,
        curse: rp,        
        electric: -,
        en: 41,
        fire: rp,
        ice: ab,
        item: 奈落の鞭,
        bless: -,
        lu: 35,
        lvl: 67,
        ma: 46,
        nuclear: nu,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Diamond Dust: 72,
            Ice Amp: 70,
            Mabufudyne: 0,
            Miracle Punch: 0,
            One Shot Kill: 0,
            Repel Fire: 71
        },
        st: 44,
        wind: -
    },
    Black Ooze: {
        ag: 16,
        arcana: Moon,
        curse: nu,        
        electric: wk,
        en: 20,
        fire: -,
        ice: rs,
        item: Stagnant Air,
        bless: wk,
        lu: 21,
        lvl: 29,
        ma: 18,        
        nuclear: -,
        personality: Irritable,
        phys: rs,
        Psi: wk,
        gun: rs,        
        skills: {
            Brain Jack: 34,
            Ambient Aid: 31,
            Devil Touch: 0,
            Flash Bomb: 35,
            Headbutt: 32,
            Matarunda: 0,
            Stagnant Air: 0
        },
        st: 19,
        wind: -
    },
    Black Rider: {
        ag: 45,
        arcana: Tower,
        curse: rs,        
        electric: -,
        en: 37,
        fire: wk,
        ice: ab,
        item: Bad Beat,
        bless: rs,
        lu: 30,
        lvl: 59,
        ma: 43,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Bloodbath: 61,
            Ambient Aid: 60,
            Flash Bomb: 0,
            Ghastly Wail: 63,
            Maeigaon: 0,
            Mamudoon: 0,
            Megidola: 64
        },
        st: 38,
        wind: -
    },
    Bugs: {
        ag: 32,
        arcana: Fool,
        curse: nu,        
        electric: -,
        en: 30,
        fire: -,
        ice: -,
        item: ベアグローブ,
        bless: -,
        lu: 24,
        lvl: 49,
        ma: 33,
        nuclear: wk,
        phys: -,
        Psi: rs,
        gun: -,        
        skills: {
            Auto-Mataru: 51,
            Evade Physical: 54,
            Fast Heal: 55,
            Masukunda: 0,
            Miracle Punch: 0,
            Psidyne: 0,
            Triple Down: 52
        },
        st: 35,
        wind: -
    },
    Byakko: {
        ag: 32,
        arcana: Temperance,
        curse: rs,        
        electric: -,
        en: 31,
        fire: wk,
        ice: ab,
        item: Swift Strike,
        bless: -,
        lu: 27,
        lvl: 49,
        ma: 32,
        nuclear: wk,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Bufudyne: 55,
            Counterstrike: 0,
            Evade Fire: 52,
            Ice Boost: 51,
            Mabufula: 0,
            Null Rage: 54,
            Swift Strike: 0
        },
        st: 32,
        wind: -
    },
    Cerberus: {
        ag: 39,
        arcana: Chariot,
        curse: -,        
        electric: -,
        en: 32,
        fire: ab,
        ice: wk,
        item: Agidyne,
        bless: -,
        lu: 27,
        lvl: 55,
        ma: 35,        
        nuclear: rs,
        personality: Unknown,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Agidyne: 0,
            Enduring Soul: 60,
            High Counter: 57,
            Megaton Raid: 0,
            Rebellion: 56,
            Regenerate 2: 58
        },
        st: 39,
        wind: -
    },
    Chernobog: {
        ag: 38,
        arcana: Death,
        curse: rp,        
        electric: nu,
        en: 39,
        fire: wk,
        ice: ab,
        item: Deadly Fury,
        bless: wk,
        lu: 39,
        lvl: 62,
        ma: 37,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: rs,        
        skills: {
            Bloodbath: 0,
            Deadly Fury: 0,
            Deathbound: 64,
            Fear Boost: 66,
